LISTA DE IMPACTOS DETECTADOS (segundos):
- Inicio: 279.47s, Fin: 279.47s (Duración: 0.00s)
- Inicio: 280.00s, Fin: 280.00s (Duración: 0.00s)
- Inicio: 280.27s, Fin: 280.27s (Duración: 0.00s)
- Inicio: 281.40s, Fin: 281.53s (Duración: 0.13s)
- Inicio: 282.13s, Fin: 282.13s (Duración: 0.00s)
- Inicio: 283.53s, Fin: 283.53s (Duración: 0.00s)
- Inicio: 283.93s, Fin: 284.00s (Duración: 0.07s)
- Inicio: 284.33s, Fin: 284.33s (Duración: 0.00s)
- Inicio: 284.67s, Fin: 284.67s (Duración: 0.00s)
- Inicio: 285.00s, Fin: 285.00s (Duración: 0.00s)
- Inicio: 285.40s, Fin: 285.73s (Duración: 0.33s)
- Inicio: 286.00s, Fin: 286.80s (Duración: 0.80s)
- Inicio: 287.20s, Fin: 287.27s (Duración: 0.07s)
- Inicio: 287.47s, Fin: 287.47s (Duración: 0.00s)
- Inicio: 287.60s, Fin: 288.20s (Duración: 0.60s)
- Inicio: 298.47s, Fin: 298.47s (Duración: 0.00s)
- Inicio: 298.80s, Fin: 298.93s (Duración: 0.13s)
- Inicio: 299.33s, Fin: 299.33s (Duración: 0.00s)
- Inicio: 299.67s, Fin: 299.67s (Duración: 0.00s)
- Inicio: 304.73s, Fin: 304.93s (Duración: 0.20s)
- Inicio: 305.60s, Fin: 305.60s (Duración: 0.00s)
- Inicio: 305.80s, Fin: 305.80s (Duración: 0.00s)
- Inicio: 306.13s, Fin: 306.27s (Duración: 0.13s)
- Inicio: 307.80s, Fin: 307.80s (Duración: 0.00s)
- Inicio: 309.67s, Fin: 309.67s (Duración: 0.00s)
- Inicio: 311.27s, Fin: 311.27s (Duración: 0.00s)
- Inicio: 311.47s, Fin: 311.47s (Duración: 0.00s)
- Inicio: 311.67s, Fin: 311.87s (Duración: 0.20s)
- Inicio: 312.13s, Fin: 312.20s (Duración: 0.07s)
- Inicio: 312.47s, Fin: 312.67s (Duración: 0.20s)
- Inicio: 312.80s, Fin: 313.27s (Duración: 0.47s)
- Inicio: 313.47s, Fin: 313.47s (Duración: 0.00s)
- Inicio: 313.60s, Fin: 314.00s (Duración: 0.40s)
- Inicio: 314.47s, Fin: 314.47s (Duración: 0.00s)
- Inicio: 315.07s, Fin: 315.27s (Duración: 0.20s)
- Inicio: 315.47s, Fin: 315.60s (Duración: 0.13s)
- Inicio: 315.80s, Fin: 315.80s (Duración: 0.00s)
- Inicio: 315.93s, Fin: 316.67s (Duración: 0.73s)
- Inicio: 316.87s, Fin: 317.07s (Duración: 0.20s)
- Inicio: 317.27s, Fin: 317.40s (Duración: 0.13s)
- Inicio: 317.67s, Fin: 317.67s (Duración: 0.00s)
- Inicio: 317.87s, Fin: 317.93s (Duración: 0.07s)
- Inicio: 318.67s, Fin: 318.67s (Duración: 0.00s)
- Inicio: 325.60s, Fin: 325.67s (Duración: 0.07s)
- Inicio: 325.87s, Fin: 326.00s (Duración: 0.13s)
- Inicio: 326.20s, Fin: 326.20s (Duración: 0.00s)
- Inicio: 326.40s, Fin: 326.47s (Duración: 0.07s)
- Inicio: 326.67s, Fin: 326.67s (Duración: 0.00s)
- Inicio: 326.94s, Fin: 326.94s (Duración: 0.00s)
- Inicio: 327.27s, Fin: 327.87s (Duración: 0.60s)
- Inicio: 328.07s, Fin: 328.14s (Duración: 0.07s)
- Inicio: 328.53s, Fin: 328.53s (Duración: 0.00s)
- Inicio: 332.87s, Fin: 332.87s (Duración: 0.00s)
- Inicio: 333.60s, Fin: 333.60s (Duración: 0.00s)
- Inicio: 333.87s, Fin: 333.87s (Duración: 0.00s)
- Inicio: 334.87s, Fin: 334.87s (Duración: 0.00s)
- Inicio: 338.00s, Fin: 338.00s (Duración: 0.00s)
- Inicio: 339.60s, Fin: 340.00s (Duración: 0.40s)
- Inicio: 340.34s, Fin: 340.34s (Duración: 0.00s)
- Inicio: 340.67s, Fin: 340.67s (Duración: 0.00s)
- Inicio: 342.27s, Fin: 343.34s (Duración: 1.07s)
- Inicio: 343.54s, Fin: 343.54s (Duración: 0.00s)
- Inicio: 343.80s, Fin: 343.80s (Duración: 0.00s)
- Inicio: 344.00s, Fin: 344.34s (Duración: 0.33s)
- Inicio: 344.54s, Fin: 344.60s (Duración: 0.07s)
- Inicio: 345.74s, Fin: 345.74s (Duración: 0.00s)
- Inicio: 347.60s, Fin: 347.74s (Duración: 0.13s)
- Inicio: 348.40s, Fin: 348.40s (Duración: 0.00s)
- Inicio: 351.54s, Fin: 351.54s (Duración: 0.00s)
- Inicio: 352.80s, Fin: 352.80s (Duración: 0.00s)
- Inicio: 352.94s, Fin: 353.74s (Duración: 0.80s)
- Inicio: 354.20s, Fin: 354.87s (Duración: 0.67s)
- Inicio: 355.20s, Fin: 355.20s (Duración: 0.00s)
- Inicio: 358.80s, Fin: 358.94s (Duración: 0.13s)
- Inicio: 359.14s, Fin: 359.27s (Duración: 0.13s)
- Inicio: 359.47s, Fin: 359.47s (Duración: 0.00s)
- Inicio: 359.67s, Fin: 359.67s (Duración: 0.00s)
- Inicio: 359.94s, Fin: 359.94s (Duración: 0.00s)
- Inicio: 360.07s, Fin: 360.34s (Duración: 0.27s)
- Inicio: 362.20s, Fin: 362.20s (Duración: 0.00s)
- Inicio: 363.94s, Fin: 363.94s (Duración: 0.00s)
- Inicio: 364.94s, Fin: 365.00s (Duración: 0.07s)
- Inicio: 365.14s, Fin: 365.40s (Duración: 0.27s)
- Inicio: 365.60s, Fin: 366.54s (Duración: 0.93s)
- Inicio: 366.74s, Fin: 366.80s (Duración: 0.07s)
- Inicio: 367.00s, Fin: 367.20s (Duración: 0.20s)
- Inicio: 367.40s, Fin: 367.80s (Duración: 0.40s)
- Inicio: 367.94s, Fin: 368.20s (Duración: 0.27s)
- Inicio: 368.40s, Fin: 369.27s (Duración: 0.87s)
- Inicio: 369.47s, Fin: 369.47s (Duración: 0.00s)
- Inicio: 369.67s, Fin: 370.20s (Duración: 0.53s)
- Inicio: 370.54s, Fin: 370.54s (Duración: 0.00s)
- Inicio: 375.74s, Fin: 375.74s (Duración: 0.00s)
- Inicio: 375.94s, Fin: 376.00s (Duración: 0.07s)
